SON,5.48,8.1487,149.9
KMT,2.01,7.8976,48.66
IPAR,5.09,17.4842,23.89
PARR,4.28,3.6005,100.87
TRTN,9.76,8.1248,233.37
ARES,5.08,28.7335,279.77
AGR,2.35,13.9005,51.46
LOPE,7.33,11.8762,12.7
MTRN,6.7,12.8286,60.27
JOE,0.11,38.2906,91.82
ESRT,0.13,13.4760,132.74
DCO,3.32,11.8234,50.81
CMBM,1.09,9.0135,20.35
ASC,2.57,2.8707,24.26
WELL,1.07,24.5563,73.94
RHP,5.84,13.6572,424.48
CLH,8.03,11.6790,122.45
HRI,14.7,10.6891,388.02
WLDN,1.51,14.6039,64.56
ATI,2.85,13.5171,135.49
MBUU,6.95,5.2703,1.65
UTHR,20.94,7.5585,14.79
UCTT,1.9,9.0488,68.09
BALL,3.29,13.9232,261.59
AZPN,7.31,40.1020,0.69
MWA,0.65,13.6886,66.34
NATI,2.82,22.1588,52.77
VMW,8.19,26.7080,441.07
CPT,1.91,17.1422,73.92
ROG,5.8,18.3012,11.85
MPW,0.85,11.4295,123.13
REYN,1.61,13.9429,115.22
ABG,31.27,6.6582,117.66
BJ,4.08,12.0495,252.88
MGRC,5.37,16.7133,76.39
ELAN,0.91,12.0608,81.7
RM,6.21,15.1637,427.7
TMHC,7.47,4.3533,48.73
ARCH,24.91,2.6909,10.56
HEES,4.9,10.8738,344.19
CRUS,6.27,11.4317,8.75
AGTI,0.61,9.6205,124.69
AWR,2.98,17.0478,109.76
JRVR,2.39,7.5645,44.05
MPAA,1.22,11.8568,92.86
ONEW,4.64,7.0022,197.87
MSM,6.39,10.0173,34.99
VVX,2.59,10.5375,125.05
HLIO,3.71,14.9625,66.93
ORI,2.64,7.7594,25.99
SEIC,4.01,17.8933,1.34
AEL,6.79,0.5343,33.44
KN,1.19,13.0579,5.82
KW,0.6,37.7998,242.97
OHI,1.47,19.3128,138.67
FORM,1.27,59.3646,5.9
AMSWA,0.48,23.8647,0
APP,1.3,21.8097,215.2
ENSG,5.2,18.9348,135.48
NL,0.62,5.5177,0.13
GES,3.17,7.7296,237.1
CNK,1.28,10.3838,1424.45
ELME,0.09,17.1398,44.35
CVLG,4.87,7.9942,65.47
ETWO,0.26,14.0862,45.51
TWNK,1.23,15.8066,53.71
HCCI,2.51,8.9134,47.47
POR,3.04,10.1769,123.06
SIG,10.36,5.5757,57.83
ACEL,0.83,8.0257,277.46
DNUT,0.41,24.1085,102.37
MYE,1.74,8.1483,42.21
WTTR,1.36,4.8794,14.11
FLO,1.31,12.5571,93.45
LRN,3.72,8.5117,57.41
NRC,1.16,22.8847,26.29
AA,3.2,23.6976,28.4
VAL,6.8,29.4781,54.75
BAH,5.61,28.1528,306.7
FRPH,0.42,51.3659,40.14
MD,1.64,7.8360,79.14
HUN,1.99,11.3113,50.75
SNCY,1.92,6.6937,134.71
TGI,0.76,11.3117,0
WWE,3.15,23.5752,45.6
LPLA,18.04,9.9540,152.34
URBN,3.35,9.0336,56.45
DRQ,0.89,32.0533,0.69
NSSC,1.29,24.8851,4.06
CPNG,0.5,47.5057,98.13
INVH,0.78,21.1138,75.68
SGH,2.25,11.1164,277.19
KNSL,13.93,32.3806,22.47
RVTY,5.58,16.9620,57.27
HP,3.5,4.9716,20.12
AZEK,1.02,27.8263,47.73
CIEN,3.28,14.5947,54.65
GDEN,1.66,8.0043,269.12
CNTY,0.59,8.5462,268.44
AFG,11.79,8.4347,42.7
DAN,1.53,6.9019,157.13
AEIS,5.99,15.1980,41.48
SWI,0.93,12.3802,90.9
LBRDK,9.93,57.3847,45.48
MEI,2.75,8.6325,35.26
WT,0.42,21.0335,46.5
TBI,1.13,8.6739,14.24
SLAB,3.72,26.2449,6.36
INFN,0.36,20.8873,443.85
DOX,6.56,11.7738,21.82
CIVI,14.41,3.6136,61.24
RDNT,0.53,18.1533,204.03
MTDR,8.95,5.1958,61.23
EAT,3.8,10.5397,0
