TMO,24.63,21.7343,77.47,514.94
NFLX,14.42,34.2055,74.43,445.36
WYNN,4.91,19.4472,0,95.32
EW,2.88,26.2870,10.62,74.87
SWKS,9,9.4059,29.13,98.23
WU,1.7,6.0905,449,12.87
ANET,6.8,28.9312,0.88,193.19
LEN,13.61,5.9820,20.56,119.76
ROK,13.32,21.9308,113.01,293.89
PRGO,3.12,13.2672,88.75,34.14
BWA,4.38,5.5594,57.2,40.17
ROP,17.78,24.5331,39.81,497.86
FTV,3.72,19.4524,31.53,78.51
NVDA,15.62,90.5210,39.83,451.78
AMCR,0.75,10.0500,181.08,9.43
ACN,12.46,18.5128,11.88,325.87
LYB,10,9.4474,101.88,100.32
ES,4.64,12.2260,158,62.36
ADI,8.43,14.0905,19.57,177.65
TXT,5.83,11.1139,55.64,75.97
VZ,4.39,6.6968,188.91,33.94
ROST,5.7,17.1707,129.76,118.39
ALLE,7.12,14.0127,193.53,108.27
SBUX,3.83,19.9769,0,95.67
BBY,6.75,7.0153,142.12,72.65
DTE,6.68,12.9244,189.5,103.02
ADBE,17.78,37.0639,27.72,564.5
MRK,7.86,24.9269,95.27,108.6
TT,9.7,17.9447,80.08,210.4
LH,14.95,10.0409,71.42,201.93
GRMN,5.68,15.8317,2.33,105.56
APA,5.81,4.6387,334.79,42.89
GD,14.91,13.7298,58.96,216.27
SBAC,6.04,22.2634,0,215.2
PFG,7.48,8.4820,41.73,75.27
RSG,5.91,14.2033,122.09,147.33
DISH,0.38,12.2049,129.8,6.14
DXC,3.94,16.8689,152.26,20.42
CAH,7.62,9.5380,0,89.73
KMX,3.69,35.5654,333.88,81.14
CHD,3.43,20.5632,65.81,96.32
UPS,10.69,10.2365,125.37,160.89
SWK,4.73,22.9437,88.13,90.95
PPL,1.7,11.5645,106.6,25.03
BEN,2.62,7.2283,28.36,25.96
VTR,0.21,18.4805,131.61,43.02
SYK,11.44,25.4314,77.39,299.72
AEP,5.6,12.4014,185.13,77.8
EL,5.58,24.6052,160.81,153.3
CMI,19.46,9.3841,73.61,233.58
PAYC,9.22,33.5758,2.06,285.95
SRE,4.78,14.7855,100.75,71.16
HES,8.29,11.0699,104.1,157.95
QCOM,8.57,9.4719,74.72,110.28
ALGN,10.4,34.4102,3.67,335.18
PCAR,6.88,9.0859,84.36,85.22
IR,3.07,20.0119,29.73,68.65
WBA,3.83,22.5670,126.77,21.43
TER,4.59,19.0945,4.85,98.9
HAL,3.43,8.6404,104,41.32
D,3.61,10.6783,172.29,47.3
DE,32.9,11.9501,272.27,400.37
VRSK,6.62,44.9564,1007.06,245.01
MRO,3.39,4.8112,53.34,26.16
CE,12.58,16.8342,243.63,125.99
IVZ,1.88,10.3820,8.91,15.41
NEE,3.41,14.8475,132.73,67.53
KMB,7.07,13.8826,1281.87,128.05
LVS,2.98,28.1465,358.74,48.87
ODFL,13.13,23.6897,2.09,426.04
LRCX,35.81,15.8835,63.93,663.68
CL,3.22,17.4211,2853.65,73.95
SJM,10.3,10.5860,64.19,131.66
KMI,1.21,10.8503,99.59,16.67
INTC,1.66,21.4283,46.95,38.59
PENN,0.84,9.3839,276.15,21.7
MET,9.26,35.5059,350.83,63.4
MNST,1.79,29.5637,0.52,56.78
MA,14.54,28.1111,279.98,416.69
L,2.9,7.4729,58.53,62.89
CTRA,2.71,4.1042,20.22,27.75
HSY,10.31,16.9314,142.86,212.03
JNPR,2.36,11.7605,40.99,28.84
PHM,11.86,4.9835,25.19,81.7
AEE,4.69,11.9412,147.86,79.27
AVGO,45.77,18.7423,178.18,859.14
TYL,8.73,54.5527,33.41,387.67
VRTX,16.22,16.8736,4.96,347.22
LKQ,4.39,9.8969,88.95,50.43
UAA,0.65,9.7893,74.4,7.16
EMN,8.3,9.2390,102.99,79.6
CAG,2.84,10.3490,107.5,29.04
TSLA,4.38,45.9919,11.14,273.58
AES,1.9,11.9544,438.94,17.24
EXR,5.86,24.7201,191.33,126.79
AAL,3.05,5.3066,0,14.09
DLR,1.27,26.1696,98.97,131.11
EQIX,10.46,33.2567,142.57,774.62
GM,6.99,8.3921,159.16,32.62
SEE,3.28,8.7771,1228.44,33.68
K,4.29,14.0589,176.33,59.85
EIX,5.09,11.2093,196.17,69.87
TRV,17.14,11.4163,36.75,161.13
CPRT,1.39,26.0368,2.31,45
MCK,30.67,11.9946,0,423.9
PXD,23.6,6.0518,25.95,233.64
DOW,3.89,8.4124,79.5,53.67
CMG,52.58,31.7556,140.52,1948.85
ORCL,5.89,22.5688,6126.61,126.71
CCL,0.94,37.1804,598.81,15.48
JCI,4.02,14.0141,64.11,57.17
MDLZ,3.53,16.9036,75.73,71.37
AJG,10.03,21.9851,71.51,228.55
REGN,43.33,16.9868,11.25,833.53
IBM,9.42,13.7554,270.77,148.38
KLAC,26.34,16.0815,207.66,494.16
